series,index,velocity,inp_acc,inp_acc_norm,velocity_norm
14,2348,88.38817528813584,506.25,0.5789473684210527,0.7770431679781209
14,2349,88.38817888244678,506.25,0.5789473684210527,0.7770432402416978
14,2350,88.38818240180389,506.25,0.5789473684210527,0.7770433109983288
14,2351,88.3881858477702,506.25,0.5789473684210527,0.7770433802794388
14,2352,88.38818922187613,506.25,0.5789473684210527,0.7770434481157966
14,2353,88.38819252562025,506.25,0.5789473684210527,0.7770435145375312
14,2354,88.38819576046984,506.25,0.5789473684210527,0.7770435795741422
14,2355,88.3881989278616,506.25,0.5789473684210527,0.777043643254514
14,2356,88.3882020292022,506.25,0.5789473684210527,0.7770437056069286
14,2357,88.38820506586912,506.25,0.5789473684210527,0.777043766659079
14,2358,88.38820803921097,506.25,0.5789473684210527,0.7770438264380801
14,2359,88.38821095054831,506.25,0.5789473684210527,0.7770438849704813
14,2360,88.38821380117415,506.25,0.5789473684210527,0.7770439422822784
14,2361,88.38821659235451,506.25,0.5789473684210527,0.777043998398925
14,2362,88.38821932532908,506.25,0.5789473684210527,0.7770440533453447
14,2363,88.38822200131159,506.25,0.5789473684210527,0.77704410714594
14,2364,88.3882246214906,506.25,0.5789473684210527,0.7770441598246063
14,2365,88.38822718702974,506.25,0.5789473684210527,0.7770442114047391
14,2366,88.38822969906848,506.25,0.5789473684210527,0.7770442619092468
14,2367,88.38823215872243,506.25,0.5789473684210527,0.777044311360559
14,2368,88.38823456708406,506.25,0.5789473684210527,0.7770443597806396
14,2369,88.38823692522296,506.25,0.5789473684210527,0.777044407190993
14,2370,88.38823923418644,506.25,0.5789473684210527,0.7770444536126753
14,2371,88.388241495,506.25,0.5789473684210527,0.7770444990663037
14,2372,88.38824370866774,506.25,0.5789473684210527,0.7770445435720663
14,2373,88.38824587617277,506.25,0.5789473684210527,0.777044587149728
14,2374,88.3882479984778,506.25,0.5789473684210527,0.7770446298186442
14,2375,88.38825007652537,506.25,0.5789473684210527,0.7770446715977648
14,2376,88.3882521112384,506.25,0.5789473684210527,0.777044712505645
14,2377,88.38825410352057,506.25,0.5789473684210527,0.7770447525604534
14,2378,88.38825605425671,506.25,0.5789473684210527,0.7770447917799794
14,2379,88.38825796431323,506.25,0.5789473684210527,0.7770448301816419
14,2380,88.38825983453839,506.25,0.5789473684210527,0.7770448677824955
14,2381,88.38826166576281,506.25,0.5789473684210527,0.7770449045992398
14,2382,88.38826345879984,506.25,0.5789473684210527,0.7770449406482272
14,2383,88.38826521444578,506.25,0.5789473684210527,0.777044975945467
14,2384,88.3882669334804,506.25,0.5789473684210527,0.7770450105066367
14,2385,88.38826861666713,506.25,0.5789473684210527,0.7770450443470851
14,2386,88.38827026475357,506.25,0.5789473684210527,0.7770450774818425
14,2387,88.38827187847163,506.25,0.5789473684210527,0.7770451099256239
14,2388,88.38827345853804,506.25,0.5789473684210527,0.7770451416928394
14,2389,88.38827500565455,506.25,0.5789473684210527,0.7770451727975978
14,2390,88.38827652050828,506.25,0.5789473684210527,0.7770452032537134
14,2391,88.38827798180158,506.25,0.5789473684210527,0.7770452326329969
14,2392,88.38827943459228,506.25,0.5789473684210527,0.7770452618413359
14,2393,88.38828085708722,506.25,0.5789473684210527,0.7770452904405791
14,2394,88.38828224991816,506.25,0.5789473684210527,0.7770453184434278
14,2395,88.3882836137037,506.25,0.5789473684210527,0.7770453458623194
14,2396,88.38828494904956,506.25,0.5789473684210527,0.7770453727094313
14,2397,88.3882862371818,506.25,0.5789473684210527,0.777045398607314
14,2398,88.38828751781895,506.25,0.5789473684210527,0.777045424354508
14,2399,88.38828877175037,506.25,0.5789473684210527,0.7770454495647836
14,2400,88.38828999953292,506.25,0.5789473684210527,0.7770454742493365
14,2401,88.38829120171191,506.25,0.5789473684210527,0.7770454984191302
14,2402,88.3882923788213,506.25,0.5789473684210527,0.7770455220849
14,2403,88.3882935143118,506.25,0.5789473684210527,0.7770455449139222
14,2404,88.3882946431954,506.25,0.5789473684210527,0.7770455676101129
14,2405,88.38829574853781,506.25,0.5789473684210527,0.7770455898330086
14,2406,88.38829683082999,506.25,0.5789473684210527,0.7770456115924793
14,2407,88.3882978905526,506.25,0.5789473684210527,0.7770456328981892
14,2408,88.38829891280672,506.25,0.5789473684210527,0.7770456534505956
14,2409,88.38829992911282,506.25,0.5789473684210527,0.7770456738834173
14,2410,88.38830090948554,506.25,0.5789473684210527,0.7770456935937986
14,2411,88.38830188415389,506.25,0.5789473684210527,0.7770457131894937
14,2412,88.38830282436103,506.25,0.5789473684210527,0.7770457320923467
14,2413,88.38830375909755,506.25,0.5789473684210527,0.7770457508852129
14,2414,88.38830466078473,506.25,0.5789473684210527,0.7770457690136223
14,2415,88.38830554394707,506.25,0.5789473684210527,0.7770457867695901
14,2416,88.38830640896518,506.25,0.5789473684210527,0.7770458041607686
14,2417,88.38830725621186,506.25,0.5789473684210527,0.7770458211946525
14,2418,88.38830808605216,506.25,0.5789473684210527,0.7770458378785816
14,2419,88.38830889884373,506.25,0.5789473684210527,0.777045854219746
14,2420,88.3883096949368,506.25,0.5789473684210527,0.7770458702251872
14,2421,88.38831047467444,506.25,0.5789473684210527,0.7770458859018028
14,2422,88.3883112383927,506.25,0.5789473684210527,0.7770459012563491
14,2423,88.38831199766722,506.25,0.5789473684210527,0.7770459165215537
14,2424,88.3883127411082,506.25,0.5789473684210527,0.7770459314684253
14,2425,88.38831345826345,506.25,0.5789473684210527,0.7770459458868231
14,2426,88.38831416068503,506.25,0.5789473684210527,0.7770459600090001
14,2427,88.38831485901953,506.25,0.5789473684210527,0.7770459740490065
14,2428,88.3883155326631,506.25,0.5789473684210527,0.7770459875926021
14,2429,88.38831619246693,506.25,0.5789473684210527,0.7770460008579501
14,2430,88.38831684843166,506.25,0.5789473684210527,0.7770460140461126
14,2431,88.38831748120353,506.25,0.5789473684210527,0.7770460267679833
14,2432,88.3883181102936,506.25,0.5789473684210527,0.7770460394158314
14,2433,88.38831872626493,506.25,0.5789473684210527,0.7770460517999274
14,2434,88.3883193293911,506.25,0.5789473684210527,0.7770460639257715
14,2435,88.38831991993996,506.25,0.5789473684210527,0.777046075798749
14,2436,88.38832049817381,506.25,0.5789473684210527,0.7770460874241334
14,2437,88.38832105596316,506.25,0.5789473684210527,0.7770460986384813
14,2438,88.38832160229293,506.25,0.5789473684210527,0.7770461096224346
14,2439,88.38832214544387,506.25,0.5789473684210527,0.7770461205424775
14,2440,88.38832267726816,506.25,0.5789473684210527,0.7770461312347983
14,2441,88.38832319028884,506.25,0.5789473684210527,0.7770461415490728
14,2442,88.38832370032446,506.25,0.5789473684210527,0.7770461518033325
14,2443,88.38832419232685,506.25,0.5789473684210527,0.7770461616950344
14,2444,88.38832467422124,506.25,0.5789473684210527,0.7770461713835151
